caseid,task,start_timestamp,end_timestamp,resource
12,W_Complete_preaccepted_appl,2022-07-06 07:07:43.992,2022-07-06 07:56:29.362,SYSTEM
16,A_ACCEPTED,2022-07-06 07:50:33.734,2022-07-06 07:58:58.628,SYSTEM
8,W_Call_missing_information,2022-07-06 07:43:24.68,2022-07-06 07:59:26.268,SYSTEM
20,A_SUBMITTED,2022-07-06 07:36:09.251,2022-07-06 08:02:32.367,SYSTEM
12,A_ACCEPTED,2022-07-06 07:56:29.362,2022-07-06 08:08:50.565,SYSTEM
16,A_FINALIZED,2022-07-06 07:58:58.628,2022-07-06 08:09:55.203,SYSTEM
18,W_Fix_incomplete_submission,2022-07-06 07:42:24.13,2022-07-06 08:11:03.663,SYSTEM
11,A_APPROVED,2022-07-06 06:31:20.032,2022-07-06 08:11:42.693,SYSTEM
8,O_ACCEPTED,2022-07-06 07:59:26.268,2022-07-06 08:11:56.169,SYSTEM
10,W_Assess_application,2022-07-06 07:06:49.19,2022-07-06 08:12:15.932,SYSTEM
18,A_PREACCEPTED,2022-07-06 08:11:03.663,2022-07-06 08:12:17.437,SYSTEM
13,A_APPROVED,2022-07-06 07:53:22.104,2022-07-06 08:13:50.422,SYSTEM
4,O_SENT,2022-07-06 07:04:56.912,2022-07-06 08:13:57.658,SYSTEM
4,W_Call_after_offer,2022-07-06 08:13:57.658,2022-07-06 08:16:07.643,SYSTEM
13,A_REGISTERED,2022-07-06 08:13:50.422,2022-07-06 08:19:48.659,SYSTEM
12,A_FINALIZED,2022-07-06 08:08:50.565,2022-07-06 08:20:08.033,SYSTEM
12,O_SELECTED,2022-07-06 08:20:08.033,2022-07-06 08:21:32.085,SYSTEM
11,A_REGISTERED,2022-07-06 08:11:42.693,2022-07-06 08:21:34.897,SYSTEM
4,O_SENT_BACK,2022-07-06 08:16:07.643,2022-07-06 08:23:48.586,SYSTEM
